#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.204175 seconds
Distributing the actor graph took: 41.4174 seconds
Added actors in: 0.136771 seconds.
Initialized connections of actors in: 0.0478908 seconds.
Async Migration only
Output number: 1, Rank-12: (1) 78 | (2) 1002 | (3)7.78443/100 | (4) 33, 33 | (5) 79.3096 | (6) 44.5612 | (7) 0.000194488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (203413, 203413) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 180.154 | (25) (33.859, 61-55)
Output number: 4, Rank-578: (1) 87 | (2) 1200 | (3)7.25/100 | (4) 48, 48 | (5) 75.78 | (6) 259.846 | (7) 0.000249764 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 46.5278/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (238482, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 186.926 | (25) (34.2151, 9-129)
Output number: 4, Rank-627: (1) 91 | (2) 6914 | (3)1.31617/100 | (4) 32, 32 | (5) 96.0673 | (6) 268.649 | (7) 0.000286214 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 50.5556/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (116008, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 180.754 | (25) (34.0848, 137-18)
Output number: 4, Rank-150: (1) 76 | (2) 7031 | (3)1.08093/100 | (4) 25, 25 | (5) 72.2876 | (6) 282.202 | (7) 0.000145339 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.1667/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (190599, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 216.669 | (25) (35.0864, 54-52)
Output number: 4, Rank-126: (1) 81 | (2) 1025 | (3)7.90244/100 | (4) 22, 22 | (5) 82.214 | (6) 278.21 | (7) 0.000239656 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 50/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (223192, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 186.236 | (25) (35.9752, 89-59)
Output number: 4, Rank-100: (1) 66 | (2) 6658 | (3)0.991289/100 | (4) 17, 17 | (5) 96.068 | (6) 265.771 | (7) 0.000199125 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 50.1389/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (135839, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 201.97 | (25) (33.497, 56-79)
Output number: 4, Rank-70: (1) 73 | (2) 6897 | (3)1.05843/100 | (4) 29, 29 | (5) 79.031 | (6) 270.508 | (7) 0.000227657 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.4722/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (184785, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 209.73 | (25) (33.6115, 85-50)
Output number: 4, Rank-271: (1) 62 | (2) 6786 | (3)0.913646/100 | (4) 14, 14 | (5) 98.6207 | (6) 266.236 | (7) 0.000269315 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 50.5556/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (90216, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 200.895 | (25) (33.1638, 93-76)
Output number: 4, Rank-298: (1) 70 | (2) 6895 | (3)1.01523/100 | (4) 33, 33 | (5) 78.2169 | (6) 270.129 | (7) 0.000221938 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.3333/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (217762, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 210.231 | (25) (33.3619, 81-85)
Output number: 4, Rank-42: (1) 48 | (2) 790 | (3)6.07595/100 | (4) 19, 19 | (5) 71.5042 | (6) 272.949 | (7) 0.000296908 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.7778/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (143765, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 206.492 | (25) (33.9696, 8-129)
Output number: 4, Rank-433: (1) 82 | (2) 866 | (3)9.46882/100 | (4) 32, 32 | (5) 110.378 | (6) 254.338 | (7) 0.00018716 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 50.5556/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (103025, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.023 | (25) (33.9911, 72-72)
Output number: 4, Rank-655: (1) 93 | (2) 6863 | (3)1.35509/100 | (4) 39, 39 | (5) 70.2367 | (6) 270.156 | (7) 0.000193124 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.2222/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (191261, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 193.204 | (25) (36.49, 74-50)
Output number: 4, Rank-174: (1) 78 | (2) 6763 | (3)1.15333/100 | (4) 21, 21 | (5) 109.44 | (6) 262.597 | (7) 0.000270618 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 51.6667/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (97223, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.742 | (25) (33.3948, 92-90)
Output number: 4, Rank-360: (1) 72 | (2) 900 | (3)8/100 | (4) 22, 22 | (5) 82.7722 | (6) 266.608 | (7) 0.000217104 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.4722/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (130512, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 237.434 | (25) (33.2972, 79-70)
Output number: 4, Rank-404: (1) 75 | (2) 1086 | (3)6.90608/100 | (4) 14, 14 | (5) 78.7171 | (6) 270.213 | (7) 0.000199064 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.3333/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (158452, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 202.73 | (25) (33.8813, 63-66)
Output number: 4, Rank-250: (1) 79 | (2) 6975 | (3)1.13262/100 | (4) 39, 39 | (5) 90.1972 | (6) 260.439 | (7) 0.000255481 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.6111/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (138509, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 181.194 | (25) (33.5872, 95-68)
Output number: 4, Rank-464: (1) 82 | (2) 6811 | (3)1.20393/100 | (4) 29, 29 | (5) 78.8437 | (6) 271.34 | (7) 0.000185377 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.6111/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (168169, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.848 | (25) (33.8119, 7-122)
Output number: 4, Rank-538: (1) 80 | (2) 1025 | (3)7.80488/100 | (4) 36, 36 | (5) 89.6308 | (6) 256.978 | (7) 0.000202233 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.0556/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (191114, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 212.995 | (25) (33.6526, 137-122)
Output number: 4, Rank-529: (1) 68 | (2) 856 | (3)7.94393/100 | (4) 21, 21 | (5) 110.314 | (6) 266.75 | (7) 0.000210853 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 52.3611/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (81469, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 235.439 | (25) (33.5031, 85-65)
Output number: 4, Rank-207: (1) 90 | (2) 1046 | (3)8.60421/100 | (4) 34, 34 | (5) 84.997 | (6) 258.171 | (7) 0.000208966 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.6389/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (186360, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 182.121 | (25) (34.0855, 71-52)
Output number: 4, Rank-608: (1) 66 | (2) 979 | (3)6.74157/100 | (4) 37, 37 | (5) 86.693 | (6) 264.399 | (7) 0.000245477 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.75/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (156092, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 180.439 | (25) (33.5751, 63-52)
Output number: 4, Rank-493: (1) 77 | (2) 6803 | (3)1.13185/100 | (4) 20, 20 | (5) 83.8535 | (6) 272.655 | (7) 0.000248099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.4444/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (170654, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.499 | (25) (33.2041, 63-69)
Output number: 4, Rank-377: (1) 86 | (2) 6897 | (3)1.24692/100 | (4) 28, 28 | (5) 85.7953 | (6) 269.859 | (7) 0.000227572 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.3056/100 | (15) 0 | (17) (28, 28) | (18) X | (19) (177462, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 209.88 | (25) (33.6224, 14-126)
Output number: 4, Rank-324: (1) 72 | (2) 895 | (3)8.04469/100 | (4) 49, 49 | (5) 61.3452 | (6) 271.846 | (7) 0.000201382 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 46.25/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (287343, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 223.562 | (25) (34.8611, 15-15)
Output number: 4, Rank-579: (1) 78 | (2) 7001 | (3)1.11413/100 | (4) 25, 25 | (5) 80.1364 | (6) 272.579 | (7) 0.000179746 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.8889/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (139453, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 180.796 | (25) (34.79, 66-94)
Output number: 4, Rank-616: (1) 81 | (2) 1110 | (3)7.2973/100 | (4) 34, 34 | (5) 81.6335 | (6) 266.795 | (7) 0.000250801 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.3333/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (203948, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 211.694 | (25) (33.4487, 79-60)
Output number: 4, Rank-541: (1) 80 | (2) 1072 | (3)7.46269/100 | (4) 39, 39 | (5) 77.2341 | (6) 259.151 | (7) 0.000140894 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 46.6667/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (232042, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 213.092 | (25) (33.6081, 138-135)
Output number: 4, Rank-504: (1) 106 | (2) 6880 | (3)1.5407/100 | (4) 29, 29 | (5) 95.695 | (6) 259.155 | (7) 0.000191145 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.1667/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (122776, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.72 | (25) (33.3877, 1-2)
Output number: 4, Rank-208: (1) 93 | (2) 6924 | (3)1.34315/100 | (4) 32, 32 | (5) 82.8634 | (6) 271.214 | (7) 0.000182971 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.1667/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (164787, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 179.072 | (25) (34.255, 2-139)
Output number: 4, Rank-609: (1) 97 | (2) 1120 | (3)8.66071/100 | (4) 29, 29 | (5) 92.5739 | (6) 265.885 | (7) 0.000208848 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.7222/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (152102, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 208.923 | (25) (33.5021, 136-5)
Output number: 4, Rank-497: (1) 74 | (2) 6815 | (3)1.08584/100 | (4) 23, 23 | (5) 75.9526 | (6) 275.637 | (7) 0.000215597 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.75/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (138823, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 204.692 | (25) (33.1182, 16-135)
Output number: 4, Rank-378: (1) 82 | (2) 6856 | (3)1.19603/100 | (4) 43, 43 | (5) 72.3739 | (6) 271.866 | (7) 0.000207471 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.7778/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (271223, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 183.623 | (25) (33.85, 94-85)
Output number: 4, Rank-326: (1) 76 | (2) 949 | (3)8.00843/100 | (4) 25, 25 | (5) 63.1003 | (6) 274.868 | (7) 0.000219904 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 46.8056/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (221225, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 209.388 | (25) (33.6944, 57-94)
Output number: 4, Rank-580: (1) 81 | (2) 6959 | (3)1.16396/100 | (4) 29, 29 | (5) 69.0325 | (6) 276.307 | (7) 0.000195563 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.9167/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (255239, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 209.458 | (25) (33.6538, 85-68)
Output number: 4, Rank-623: (1) 105 | (2) 1068 | (3)9.83146/100 | (4) 40, 40 | (5) 85.8615 | (6) 254.51 | (7) 0.000203668 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.2222/100 | (15) 0 | (17) (40, 40) | (18) X | (19) (189678, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 185.219 | (25) (34.0341, 20-2)
Output number: 4, Rank-143: (1) 51 | (2) 6772 | (3)0.753101/100 | (4) 16, 16 | (5) 68.5983 | (6) 279.411 | (7) 0.000161565 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.3333/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (142832, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.237 | (25) (33.5037, 49-87)
Output number: 4, Rank-127: (1) 69 | (2) 870 | (3)7.93103/100 | (4) 23, 23 | (5) 89.644 | (6) 264.52 | (7) 0.000152101 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.1667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (150121, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 209.754 | (25) (33.9747, 66-52)
Output number: 4, Rank-84: (1) 74 | (2) 1203 | (3)6.15129/100 | (4) 17, 17 | (5) 79.0914 | (6) 270.31 | (7) 0.000226231 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.4722/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (199541, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 204.064 | (25) (34.0107, 82-53)
Output number: 4, Rank-71: (1) 67 | (2) 1142 | (3)5.8669/100 | (4) 33, 33 | (5) 72.3495 | (6) 271.592 | (7) 0.000187212 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.6389/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (227839, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 245.277 | (25) (33.6844, 79-91)
Output number: 4, Rank-274: (1) 98 | (2) 6803 | (3)1.44054/100 | (4) 15, 15 | (5) 105.772 | (6) 260.043 | (7) 0.000245011 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 50.6944/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (105435, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.438 | (25) (33.6285, 134-14)
Output number: 4, Rank-300: (1) 71 | (2) 6907 | (3)1.02794/100 | (4) 20, 20 | (5) 87.9853 | (6) 266.8 | (7) 0.000229823 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.1667/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (161632, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 207.078 | (25) (33.95, 74-74)
Output number: 4, Rank-45: (1) 58 | (2) 1104 | (3)5.25362/100 | (4) 53, 53 | (5) 56.105 | (6) 266.648 | (7) 0.000218819 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 44.7222/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (241884, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 221.429 | (25) (34.2071, 63-76)
Output number: 4, Rank-420: (1) 54 | (2) 1101 | (3)4.90463/100 | (4) 13, 13 | (5) 94.9545 | (6) 273.069 | (7) 0.000260551 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 51.1111/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (99053, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 202.289 | (25) (33.5846, 67-66)
Output number: 4, Rank-656: (1) 80 | (2) 6912 | (3)1.15741/100 | (4) 21, 21 | (5) 74.7215 | (6) 273.691 | (7) 0.000174156 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.3333/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (177482, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.031 | (25) (34.2942, 90-55)
Output number: 4, Rank-192: (1) 77 | (2) 1066 | (3)7.22326/100 | (4) 32, 32 | (5) 72.8327 | (6) 266.35 | (7) 0.00020466 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.0833/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (186413, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 182.484 | (25) (34.5043, 82-76)
Output number: 4, Rank-349: (1) 83 | (2) 6834 | (3)1.21452/100 | (4) 38, 38 | (5) 98.1023 | (6) 267.912 | (7) 0.000181229 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 50.8333/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (124065, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 212.727 | (25) (33.5356, 1-134)
Output number: 4, Rank-405: (1) 57 | (2) 6727 | (3)0.847332/100 | (4) 19, 19 | (5) 80.5748 | (6) 273.335 | (7) 0.000198132 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.0278/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (152135, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 201.562 | (25) (32.975, 19-133)
Output number: 4, Rank-232: (1) 85 | (2) 1152 | (3)7.37847/100 | (4) 38, 38 | (5) 74.9997 | (6) 266.156 | (7) 0.000289802 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.3611/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (183619, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 187.085 | (25) (34.7765, 5-0)
Output number: 4, Rank-462: (1) 107 | (2) 959 | (3)11.1575/100 | (4) 21, 21 | (5) 76.2602 | (6) 274.965 | (7) 0.000252494 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.75/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (133665, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 184.073 | (25) (35.6043, 63-54)
Output number: 4, Rank-151: (1) 74 | (2) 1096 | (3)6.75182/100 | (4) 54, 54 | (5) 69.511 | (6) 259.09 | (7) 0.000202609 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 45.5556/100 | (15) 0 | (17) (54, 54) | (18) X | (19) (256128, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 221.915 | (25) (34.3564, 60-62)
Output number: 4, Rank-128: (1) 73 | (2) 1010 | (3)7.22772/100 | (4) 30, 30 | (5) 83.6856 | (6) 261.504 | (7) 0.00026244 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.9167/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (163338, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 212.062 | (25) (34.3701, 64-91)
Output number: 4, Rank-86: (1) 87 | (2) 1021 | (3)8.52106/100 | (4) 38, 38 | (5) 84.7693 | (6) 259.627 | (7) 0.000246912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.7778/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (190648, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 211.192 | (25) (33.2609, 61-92)
Output number: 4, Rank-73: (1) 58 | (2) 6731 | (3)0.861685/100 | (4) 22, 22 | (5) 77.4238 | (6) 271.749 | (7) 0.000204938 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.4722/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (162252, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.526 | (25) (33.4718, 77-63)
Output number: 4, Rank-272: (1) 89 | (2) 1084 | (3)8.21033/100 | (4) 33, 33 | (5) 88.0203 | (6) 262.497 | (7) 0.000187453 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.6111/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (131919, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 190.749 | (25) (35.977, 2-9)
Output number: 4, Rank-283: (1) 85 | (2) 6920 | (3)1.22832/100 | (4) 29, 29 | (5) 89.8953 | (6) 263.444 | (7) 0.000161253 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.0278/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (140031, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 211.378 | (25) (33.8215, 1-8)
Output number: 4, Rank-46: (1) 65 | (2) 935 | (3)6.95187/100 | (4) 45, 45 | (5) 54.3576 | (6) 271.086 | (7) 0.000283083 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 45.1389/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (253455, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 184.18 | (25) (34.0187, 135-14)
Output number: 4, Rank-424: (1) 77 | (2) 6735 | (3)1.14328/100 | (4) 30, 30 | (5) 97.6486 | (6) 260.354 | (7) 0.000235728 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.7222/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (131858, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 208.363 | (25) (33.299, 49-81)
Output number: 4, Rank-657: (1) 86 | (2) 7060 | (3)1.21813/100 | (4) 42, 42 | (5) 68.6384 | (6) 269.923 | (7) 0.000141349 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 46.9444/100 | (15) 0 | (17) (42, 42) | (18) X | (19) (248954, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 213.348 | (25) (33.3633, 89-56)
Output number: 4, Rank-193: (1) 64 | (2) 6807 | (3)0.940209/100 | (4) 14, 14 | (5) 89.4894 | (6) 269.152 | (7) 0.000159435 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 49.7222/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (113955, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 203.937 | (25) (33.8234, 75-94)
Output number: 4, Rank-336: (1) 83 | (2) 944 | (3)8.79237/100 | (4) 23, 23 | (5) 101.091 | (6) 258.926 | (7) 0.000303265 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 50/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (99132, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 207.463 | (25) (33.4552, 76-70)
Output number: 4, Rank-406: (1) 70 | (2) 1068 | (3)6.55431/100 | (4) 44, 44 | (5) 64.798 | (6) 266.225 | (7) 0.000216353 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 45.9722/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (237102, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 214.931 | (25) (33.6674, 49-63)
Output number: 4, Rank-247: (1) 85 | (2) 7009 | (3)1.21273/100 | (4) 41, 41 | (5) 85.8639 | (6) 263.769 | (7) 0.000254675 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 48.4722/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (202616, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 182.287 | (25) (33.8755, 73-79)
Output number: 4, Rank-459: (1) 69 | (2) 1034 | (3)6.67311/100 | (4) 34, 34 | (5) 75.4883 | (6) 267.047 | (7) 0.00017291 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 720 | (14) 47.5/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (210600, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 182.291 | (25) (34.289, 18-4)
