#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00275716 seconds
Distributing the actor graph took: 41.5013 seconds
Added actors in: 0.471613 seconds.
Initialized connections of actors in: 0.0464006 seconds.
Async Migration only
Output number: 1, Rank-20: (1) 1 | (2) 1713 | (3)0.0583771/100 | (4) 189, 189 | (5) 4.28038 | (6) 67.2325 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (116118, 116118) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3573 | (25) (0.44843, 134-36) | (26) 100605 | (27) -0.63486
Output number: 10, Rank-33: (1) 95 | (2) 16238 | (3)0.585047/100 | (4) 65, 65 | (5) 1250.63 | (6) 216.477 | (7) 0.000252894 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 81.5/100 | (15) 0 | (17) (65, 65) | (18) X | (19) (953430, 36294) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2136.95 | (25) (33.6275, 7-14) | (26) 1 | (27) 64.6983
Output number: 10, Rank-89: (1) 196 | (2) 16770 | (3)1.16875/100 | (4) 203, 203 | (5) 913.372 | (6) 318.918 | (7) 0.000154865 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 68.4444/100 | (15) 0 | (17) (203, 203) | (18) X | (19) (1764940, 128640) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2708.58 | (25) (33.5557, 3-123) | (26) 1 | (27) 64.5643
Output number: 10, Rank-66: (1) 41 | (2) 13798 | (3)0.297145/100 | (4) 84, 84 | (5) 1705.01 | (6) 38.6794 | (7) 0.00013547 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 96.8333/100 | (15) 0 | (17) (84, 84) | (18) X | (19) (515737, 49508) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 2782.02 | (25) (33.6591, 76-75) | (26) 1 | (27) 264.036
Output number: 10, Rank-48: (1) 114 | (2) 16502 | (3)0.690825/100 | (4) 111, 111 | (5) 1225.67 | (6) 222.29 | (7) 6.1642e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 80.3889/100 | (15) 0 | (17) (111, 111) | (18) X | (19) (1071336, 66279) | (20) 1 | (21) 1 | (22) 0 | (23) 10 | (24) 2803.86 | (25) (33.9399, 60-57) | (26) 1 | (27) 234.102
Output number: 10, Rank-95: (1) 28 | (2) 14882 | (3)0.188147/100 | (4) 83, 83 | (5) 1640.15 | (6) 65.3642 | (7) 8.739e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 94.7222/100 | (15) 0 | (17) (83, 83) | (18) X | (19) (502003, 48660) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2716.72 | (25) (33.4466, 64-75) | (26) 1 | (27) 129.861
Output number: 10, Rank-63: (1) 82 | (2) 15155 | (3)0.541076/100 | (4) 170, 170 | (5) 864.101 | (6) 346.546 | (7) 0.000111099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 67.2222/100 | (15) 0 | (17) (170, 170) | (18) X | (19) (1347607, 116023) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2910.68 | (25) (36.5551, 76-96) | (26) 1 | (27) 133.64
Output number: 10, Rank-32: (1) 178 | (2) 17044 | (3)1.04436/100 | (4) 271, 271 | (5) 530.928 | (6) 486.392 | (7) 0.000133842 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 56.5/100 | (15) 0 | (17) (271, 271) | (18) X | (19) (1618444, 161062) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2333.62 | (25) (33.3526, 13-11) | (26) 1 | (27) 65.1264
Output number: 10, Rank-106: (1) 104 | (2) 15309 | (3)0.679339/100 | (4) 74, 74 | (5) 1382.01 | (6) 178.669 | (7) 0.000110436 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 86.6667/100 | (15) 0 | (17) (74, 74) | (18) X | (19) (637943, 41560) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2454.9 | (25) (34.1309, 9-143) | (26) 1 | (27) 198.176
Output number: 10, Rank-81: (1) 116 | (2) 16339 | (3)0.709958/100 | (4) 122, 122 | (5) 986.553 | (6) 289.72 | (7) 0.000132907 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 70.8889/100 | (15) 0 | (17) (122, 122) | (18) X | (19) (1676310, 126503) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2590.12 | (25) (34.2781, 121-137) | (26) 1 | (27) 129.925
Output number: 10, Rank-93: (1) 155 | (2) 17459 | (3)0.887794/100 | (4) 332, 332 | (5) 337.604 | (6) 539.588 | (7) 5.3387e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 48.7222/100 | (15) 0 | (17) (332, 332) | (18) X | (19) (1423528, 189158) | (20) 1 | (21) 1 | (22) 0 | (23) 6 | (24) 2607.05 | (25) (33.3446, 47-82) | (26) 1 | (27) 162.689
Output number: 10, Rank-68: (1) 87 | (2) 14026 | (3)0.620277/100 | (4) 152, 152 | (5) 1422.74 | (6) 142.098 | (7) 5.0978e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 86.8889/100 | (15) 0 | (17) (152, 152) | (18) X | (19) (1283041, 97692) | (20) 1 | (21) 1 | (22) 0 | (23) 12 | (24) 2817.82 | (25) (34.9331, 95-83) | (26) 1 | (27) 366.189
Output number: 10, Rank-42: (1) 166 | (2) 16613 | (3)0.999217/100 | (4) 101, 101 | (5) 998.747 | (6) 300.276 | (7) 9.7872e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 72.1667/100 | (15) 0 | (17) (101, 101) | (18) X | (19) (1361543, 61394) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2896.91 | (25) (34.696, 48-57) | (26) 1 | (27) 97.7152
Output number: 10, Rank-94: (1) 67 | (2) 15343 | (3)0.436681/100 | (4) 85, 85 | (5) 1609.02 | (6) 77.3033 | (7) 0.000107782 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 93.6667/100 | (15) 0 | (17) (85, 85) | (18) X | (19) (540683, 50307) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2760.44 | (25) (33.7752, 64-87) | (26) 1 | (27) 193.802
Output number: 10, Rank-77: (1) 96 | (2) 14075 | (3)0.68206/100 | (4) 90, 90 | (5) 1484.34 | (6) 113.805 | (7) 0.000136941 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 88.7778/100 | (15) 0 | (17) (90, 90) | (18) X | (19) (1218270, 60761) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2592.19 | (25) (33.7373, 136-123) | (26) 1 | (27) 195.726
Output number: 10, Rank-60: (1) 118 | (2) 17629 | (3)0.669352/100 | (4) 305, 305 | (5) 84.0457 | (6) 652.361 | (7) 0.000138605 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1800 | (14) 40.8889/100 | (15) 0 | (17) (305, 305) | (18) X | (19) (1342919, 171337) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 932.053 | (25) (34.4701, 93-69) | (26) 1 | (27) 32.0079
Output number: 11, Rank-14: (1) 0 | (2) 19275 | (3)0/100 | (4) 180, 180 | (5) 46.207 | (6) 765.633 | (7) 0.000249752 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.9596/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (1239951, 110046) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 64.7942 | (25) (0.44003, 129-66) | (26) 1 | (27) 0.07427
Output number: 11, Rank-19: (1) 0 | (2) 19380 | (3)0/100 | (4) 188, 188 | (5) 48.0447 | (6) 747.538 | (7) 0.000271133 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.1515/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (1298928, 116635) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.9116 | (25) (0.49427, 126-46) | (26) 1212 | (27) -0.63249
Output number: 11, Rank-8: (1) 49 | (2) 19407 | (3)0.252486/100 | (4) 232, 232 | (5) 50.5229 | (6) 746.717 | (7) 0.000252743 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.2525/100 | (15) 0 | (17) (232, 232) | (18) X | (19) (1347457, 141237) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 84.0116 | (25) (0.4699, 109-12) | (26) 110 | (27) -0.00318
Output number: 11, Rank-27: (1) 42 | (2) 19277 | (3)0.217876/100 | (4) 230, 230 | (5) 99.6652 | (6) 707.963 | (7) 0.000266478 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.7576/100 | (15) 0 | (17) (230, 230) | (18) X | (19) (1365031, 138703) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1070.16 | (25) (33.9702, 138-21) | (26) 38704 | (27) -0.78385
Output number: 11, Rank-7: (1) 239 | (2) 19231 | (3)1.24279/100 | (4) 413, 413 | (5) 87.6714 | (6) 720.196 | (7) 7.3361e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.7576/100 | (15) 0 | (17) (413, 413) | (18) X | (19) (1589593, 250054) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 957.415 | (25) (33.4384, 121-2) | (26) 1675 | (27) -0.73549
Output number: 11, Rank-16: (1) 234 | (2) 18704 | (3)1.25107/100 | (4) 271, 271 | (5) 652.926 | (6) 491.818 | (7) 9.3717e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 57.7778/100 | (15) 0 | (17) (271, 271) | (18) X | (19) (1912776, 181570) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2539.81 | (25) (36.4556, 89-70) | (26) 1 | (27) 0.09833
Output number: 11, Rank-10: (1) 1 | (2) 19296 | (3)0.00518242/100 | (4) 186, 186 | (5) 47.6087 | (6) 772.926 | (7) 0.000109644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 41.4141/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (1280518, 111385) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3245 | (25) (0.42592, 66-17) | (26) 179139 | (27) -1.14167
Output number: 11, Rank-9: (1) 63 | (2) 19415 | (3)0.324491/100 | (4) 248, 248 | (5) 53.1342 | (6) 724.862 | (7) 5.448e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.2424/100 | (15) 0 | (17) (248, 248) | (18) X | (19) (1405441, 150720) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 91.0395 | (25) (0.48533, 114-19) | (26) 37 | (27) 0.00639
Output number: 11, Rank-12: (1) 4 | (2) 19405 | (3)0.0206132/100 | (4) 192, 192 | (5) 48.8834 | (6) 747.464 | (7) 0.000107645 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.202/100 | (15) 0 | (17) (192, 192) | (18) X | (19) (1299276, 116601) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 70.1809 | (25) (0.50319, 67-24) | (26) 2187 | (27) -0.68406
Output number: 11, Rank-21: (1) 153 | (2) 17732 | (3)0.862847/100 | (4) 70, 70 | (5) 1075.75 | (6) 327.788 | (7) 0.000140342 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 70.8586/100 | (15) 0 | (17) (70, 70) | (18) X | (19) (1655577, 48997) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2319.65 | (25) (33.3603, 126-6) | (26) 18999 | (27) -0.31711
Output number: 11, Rank-18: (1) 102 | (2) 19399 | (3)0.5258/100 | (4) 286, 286 | (5) 51.1661 | (6) 737.521 | (7) 0.000101546 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.798/100 | (15) 0 | (17) (286, 286) | (18) X | (19) (1376692, 171026) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 102.561 | (25) (0.48528, 105-46) | (26) 2581 | (27) -0.43034
Output number: 11, Rank-25: (1) 109 | (2) 19072 | (3)0.571518/100 | (4) 252, 252 | (5) 434.591 | (6) 563.33 | (7) 4.8663e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 50.3535/100 | (15) 0 | (17) (252, 252) | (18) X | (19) (1560085, 162364) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2421.99 | (25) (34.073, 132-19) | (26) 9186 | (27) -0.71395
Output number: 11, Rank-11: (1) 7 | (2) 19285 | (3)0.0362976/100 | (4) 193, 193 | (5) 48.3654 | (6) 731.467 | (7) 2.7356e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.3434/100 | (15) 0 | (17) (193, 193) | (18) X | (19) (1292235, 117147) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 70.0495 | (25) (0.49029, 80-5) | (26) 27 | (27) 0.12912
Output number: 11, Rank-1: (1) 141 | (2) 19381 | (3)0.727517/100 | (4) 328, 328 | (5) 68.9917 | (6) 730.759 | (7) 7.4124e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.3535/100 | (15) 0 | (17) (328, 328) | (18) X | (19) (1451552, 198921) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 476.875 | (25) (33.3052, 90-51) | (26) 14 | (27) -0.3517
Output number: 11, Rank-20: (1) 1 | (2) 19322 | (3)0.00517545/100 | (4) 189, 189 | (5) 47.8242 | (6) 740.45 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.798/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (1305164, 118152) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 66.8471 | (25) (0.51018, 132-40) | (26) 1 | (27) 0.40181
Output number: 11, Rank-17: (1) 15 | (2) 19379 | (3)0.0774034/100 | (4) 198, 198 | (5) 48.5516 | (6) 732.168 | (7) 9.2005e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.3939/100 | (15) 0 | (17) (198, 198) | (18) X | (19) (1286033, 122868) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 71.2054 | (25) (0.49074, 113-33) | (26) 6 | (27) 1.79359
Output number: 11, Rank-15: (1) 4 | (2) 19376 | (3)0.0206441/100 | (4) 194, 194 | (5) 49.3351 | (6) 742.642 | (7) 7.2805e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.9495/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (1314585, 118602) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.254 | (25) (31.2326, 124-66) | (26) 578 | (27) -0.65594
Output number: 11, Rank-5: (1) 130 | (2) 17496 | (3)0.743027/100 | (4) 80, 80 | (5) 1511.41 | (6) 188.829 | (7) 0.000131628 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 85.8586/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (843662, 50289) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2609.21 | (25) (33.4189, 83-60) | (26) 1 | (27) 96.0691
Output number: 11, Rank-87: (1) 11 | (2) 19439 | (3)0.0565873/100 | (4) 200, 200 | (5) 48.6613 | (6) 728.552 | (7) 0.000248885 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.2424/100 | (15) 0 | (17) (200, 200) | (18) X | (19) (1307432, 113094) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.1444 | (25) (0.43162, 31-94) | (26) 8383 | (27) -1.48361
Output number: 11, Rank-49: (1) 2 | (2) 19253 | (3)0.010388/100 | (4) 181, 181 | (5) 46.2129 | (6) 735.209 | (7) 0.000276091 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.4444/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (1233682, 108062) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.6437 | (25) (0.45857, 5-80) | (26) 41416 | (27) -0.31194
Output number: 11, Rank-22: (1) 86 | (2) 17534 | (3)0.490476/100 | (4) 78, 78 | (5) 1647.58 | (6) 133.38 | (7) 0.000112488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 89.899/100 | (15) 0 | (17) (78, 78) | (18) X | (19) (820593, 50879) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2504.35 | (25) (33.3336, 137-7) | (26) 1 | (27) 130.201
Output number: 11, Rank-86: (1) 4 | (2) 19371 | (3)0.0206494/100 | (4) 187, 187 | (5) 45.801 | (6) 740.558 | (7) 0.000262556 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.697/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (1267317, 109523) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.4293 | (25) (0.42572, 19-79) | (26) 162341 | (27) -1.00005
Output number: 11, Rank-41: (1) 3 | (2) 19388 | (3)0.0154735/100 | (4) 186, 186 | (5) 47.7201 | (6) 750.397 | (7) 0.000273886 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.303/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (1265364, 111051) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.0793 | (25) (0.42203, 55-20) | (26) 35460 | (27) -0.34627
Output number: 11, Rank-98: (1) 8 | (2) 19408 | (3)0.0412201/100 | (4) 185, 185 | (5) 45.9809 | (6) 739.095 | (7) 0.00019242 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.6465/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (1242318, 110212) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.529 | (25) (0.48785, 70-107) | (26) 188340 | (27) -0.65235
Output number: 11, Rank-37: (1) 11 | (2) 19393 | (3)0.0567215/100 | (4) 194, 194 | (5) 48.3087 | (6) 735.802 | (7) 0.000124027 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.596/100 | (15) 0 | (17) (194, 194) | (18) X | (19) (1269566, 115492) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 70.2781 | (25) (0.44505, 60-31) | (26) 37087 | (27) -0.32688
Output number: 11, Rank-94: (1) 70 | (2) 16949 | (3)0.413004/100 | (4) 88, 88 | (5) 1778.3 | (6) 81.5217 | (7) 0.000107782 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 93.8889/100 | (15) 0 | (17) (88, 88) | (18) X | (19) (592735, 52052) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2857.74 | (25) (33.7949, 64-87) | (26) 8347 | (27) -0.37037
Output number: 11, Rank-56: (1) 3 | (2) 19375 | (3)0.0154839/100 | (4) 193, 193 | (5) 48.3632 | (6) 731.435 | (7) 0.000120644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.3434/100 | (15) 0 | (17) (193, 193) | (18) X | (19) (1307868, 115053) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.6972 | (25) (0.40937, 108-88) | (26) 1155 | (27) -1.05554
Output number: 11, Rank-53: (1) 42 | (2) 19357 | (3)0.216976/100 | (4) 223, 223 | (5) 48.4909 | (6) 734.333 | (7) 0.000255852 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.4949/100 | (15) 0 | (17) (223, 223) | (18) X | (19) (1305745, 129885) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 80.1264 | (25) (0.45605, 17-37) | (26) 230377 | (27) -0.31161
Output number: 11, Rank-102: (1) 5 | (2) 19400 | (3)0.0257732/100 | (4) 190, 190 | (5) 46.7206 | (6) 733.192 | (7) 0.000110397 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.3434/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (1277582, 111408) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.2527 | (25) (0.53576, 66-127) | (26) 1556 | (27) -0.44811
Output number: 11, Rank-62: (1) 0 | (2) 19321 | (3)0/100 | (4) 190, 190 | (5) 48.5012 | (6) 760.199 | (7) 0.000121399 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.8081/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (1306671, 115791) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.8799 | (25) (0.43157, 127-72) | (26) 29923 | (27) -0.67566
Output number: 11, Rank-51: (1) 104 | (2) 19388 | (3)0.536414/100 | (4) 290, 290 | (5) 51.9924 | (6) 740.825 | (7) 0.00014503 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40/100 | (15) 0 | (17) (290, 290) | (18) X | (19) (1396539, 169596) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.234 | (25) (0.53723, 23-72) | (26) 41838 | (27) -1.03902
Output number: 11, Rank-90: (1) 113 | (2) 19272 | (3)0.586343/100 | (4) 292, 292 | (5) 76.6722 | (6) 726.76 | (7) 7.2962e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.5556/100 | (15) 0 | (17) (292, 292) | (18) X | (19) (1460492, 167350) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 552.085 | (25) (33.3419, 3-119) | (26) 47391 | (27) -0.67106
Output number: 11, Rank-59: (1) 5 | (2) 19371 | (3)0.0258118/100 | (4) 191, 191 | (5) 46.7607 | (6) 743.766 | (7) 8.1555e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.899/100 | (15) 0 | (17) (191, 191) | (18) X | (19) (1282362, 114720) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.9067 | (25) (0.42049, 111-76) | (26) 6610 | (27) -0.70907
Output number: 11, Rank-31: (1) 74 | (2) 19388 | (3)0.381679/100 | (4) 256, 256 | (5) 50.6742 | (6) 748.75 | (7) 0.000151441 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.3535/100 | (15) 0 | (17) (256, 256) | (18) X | (19) (1356909, 150341) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 92.9757 | (25) (0.4869, 31-27) | (26) 244044 | (27) -0.31982
Output number: 11, Rank-88: (1) 39 | (2) 19414 | (3)0.200886/100 | (4) 219, 219 | (5) 49.826 | (6) 740.473 | (7) 9.18e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.899/100 | (15) 0 | (17) (219, 219) | (18) X | (19) (1369086, 127240) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 74.9403 | (25) (0.43694, 25-103) | (26) 8027 | (27) -1.03478
Output number: 11, Rank-57: (1) 4 | (2) 19359 | (3)0.0206622/100 | (4) 188, 188 | (5) 46.9893 | (6) 768.145 | (7) 0.000113319 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 41.1616/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (1268332, 112217) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 66.7949 | (25) (0.45944, 137-99) | (26) 1 | (27) -0.33877
Output number: 11, Rank-2: (1) 233 | (2) 17962 | (3)1.29718/100 | (4) 79, 79 | (5) 922.427 | (6) 392.068 | (7) 0.000245635 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 66.3636/100 | (15) 0 | (17) (79, 79) | (18) X | (19) (1812100, 56651) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2392.78 | (25) (33.3749, 86-53) | (26) 1 | (27) 65.7045
Output number: 11, Rank-13: (1) 155 | (2) 19388 | (3)0.799464/100 | (4) 336, 336 | (5) 76.0553 | (6) 718.484 | (7) 0.00014748 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.101/100 | (15) 0 | (17) (336, 336) | (18) X | (19) (1527650, 198052) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 743.614 | (25) (34.1464, 91-49) | (26) 1 | (27) 32.5108
Output number: 11, Rank-52: (1) 3 | (2) 19295 | (3)0.0155481/100 | (4) 185, 185 | (5) 46.5874 | (6) 776.454 | (7) 0.000128327 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 41.5657/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (1264400, 110926) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 66.1227 | (25) (0.41849, 17-56) | (26) 1 | (27) -0.41032
Output number: 11, Rank-84: (1) 143 | (2) 19388 | (3)0.73757/100 | (4) 321, 321 | (5) 53.2299 | (6) 720.024 | (7) 7.0089e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.0404/100 | (15) 0 | (17) (321, 321) | (18) X | (19) (1459788, 179934) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 112.473 | (25) (0.43201, 34-92) | (26) 14996 | (27) -0.35977
Output number: 11, Rank-61: (1) 0 | (2) 19354 | (3)0/100 | (4) 178, 178 | (5) 45.9682 | (6) 740.492 | (7) 0.000139584 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.697/100 | (15) 0 | (17) (178, 178) | (18) X | (19) (1228380, 107411) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.6042 | (25) (0.4759, 143-85) | (26) 4322 | (27) -0.32371
