#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00140804 seconds
Distributing the actor graph took: 43.3275 seconds
Added actors in: 1.76254 seconds.
Initialized connections of actors in: 0.0487924 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 245 | (2) 1650 | (3)14.8485/100 | (4) 984, 984 | (5) 23.031 | (6) 43.2205 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (374261, 374261) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 691.499 | (25) (33.4254, 14-1) | (26) 287 | (27) 37.3734
Output number: 27, Rank-3: (1) 100 | (2) 48281 | (3)0.207121/100 | (4) 833, 833 | (5) 210.188 | (6) 1373.54 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 32.572/100 | (15) 0 | (17) (833, 833) | (18) X | (19) (5165116, 141406) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 308.52 | (25) (0.56641, 41-97) | (26) 12799 | (27) -1.37605
Output number: 27, Rank-5: (1) 279 | (2) 467 | (3)59.743/100 | (4) 903, 903 | (5) 3384.48 | (6) 359.285 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 77.0165/100 | (15) 0 | (17) (903, 903) | (18) X | (19) (6136895, 153768) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6502.54 | (25) (40.1742, 6-125) | (26) 59651 | (27) -0.68879
Output number: 27, Rank-26: (1) 27 | (2) 48347 | (3)0.0558463/100 | (4) 772, 772 | (5) 190.087 | (6) 1499.49 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 34.7531/100 | (15) 0 | (17) (772, 772) | (18) X | (19) (4718600, 130799) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 283.168 | (25) (0.5263, 81-30) | (26) 122855 | (27) -0.68568
Output number: 27, Rank-4: (1) 187 | (2) 48006 | (3)0.389535/100 | (4) 921, 921 | (5) 667.139 | (6) 1261.01 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 39.6708/100 | (15) 0 | (17) (921, 921) | (18) X | (19) (5373307, 155405) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3333.21 | (25) (34.7903, 20-133) | (26) 34176 | (27) -0.23802
Output number: 27, Rank-22: (1) 137 | (2) 44092 | (3)0.310714/100 | (4) 870, 870 | (5) 2089.96 | (6) 759.329 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 58.6214/100 | (15) 0 | (17) (870, 870) | (18) X | (19) (5375417, 147386) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3637.1 | (25) (33.9545, 78-73) | (26) 45166 | (27) -0.95632
Output number: 27, Rank-21: (1) 4 | (2) 48321 | (3)0.00827797/100 | (4) 737, 737 | (5) 183.58 | (6) 1467.48 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 33.9712/100 | (15) 0 | (17) (737, 737) | (18) X | (19) (4548291, 124801) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 270.679 | (25) (0.51227, 126-60) | (26) 149816 | (27) -0.40003
Output number: 27, Rank-27: (1) 257 | (2) 42552 | (3)0.603967/100 | (4) 972, 972 | (5) 2022.71 | (6) 705.91 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 56.1317/100 | (15) 0 | (17) (972, 972) | (18) X | (19) (5943770, 164572) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4552.08 | (25) (34.3927, 130-2) | (26) 11848 | (27) -0.34203
Output number: 27, Rank-18: (1) 279 | (2) 47968 | (3)0.581638/100 | (4) 1018, 1018 | (5) 689.263 | (6) 1107.04 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 36.9547/100 | (15) 0 | (17) (1018, 1018) | (18) X | (19) (6121545, 172018) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2288.99 | (25) (33.8448, 21-3) | (26) 332 | (27) 0.04105
Output number: 27, Rank-12: (1) 5 | (2) 48058 | (3)0.0104041/100 | (4) 755, 755 | (5) 192.23 | (6) 1458.26 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 33.9506/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (4689893, 127595) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 280.444 | (25) (0.61237, 110-103) | (26) 883756 | (27) -0.64283
Output number: 27, Rank-11: (1) 166 | (2) 48225 | (3)0.34422/100 | (4) 900, 900 | (5) 227.011 | (6) 1302.7 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 31.4609/100 | (15) 0 | (17) (900, 900) | (18) X | (19) (5575599, 152380) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 335.97 | (25) (0.63358, 88-132) | (26) 9680 | (27) -0.26049
Output number: 27, Rank-17: (1) 311 | (2) 48008 | (3)0.647809/100 | (4) 1050, 1050 | (5) 588.522 | (6) 1193.76 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 36.6667/100 | (15) 0 | (17) (1050, 1050) | (18) X | (19) (6303572, 177609) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2878.75 | (25) (33.8285, 85-51) | (26) 4813 | (27) -0.36415
Output number: 27, Rank-2: (1) 275 | (2) 47536 | (3)0.578509/100 | (4) 1002, 1002 | (5) 1272.6 | (6) 971.415 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 46.1728/100 | (15) 0 | (17) (1002, 1002) | (18) X | (19) (5824165, 169537) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 4331.84 | (25) (34.8501, 56-78) | (26) 1 | (27) 32.3382
Output number: 27, Rank-8: (1) 316 | (2) 1216 | (3)25.9868/100 | (4) 1012, 1012 | (5) 3785.61 | (6) 244.83 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 82.9218/100 | (15) 0 | (17) (1012, 1012) | (18) X | (19) (6416227, 172163) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 8839.6 | (25) (34.8006, 74-84) | (26) 1 | (27) 68.1111
Output number: 27, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 1044, 1044 | (5) 2789.82 | (6) 505.85 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 67.7984/100 | (15) 0 | (17) (1044, 1044) | (18) X | (19) (6590544, 176906) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 7091.24 | (25) (34.5117, 140-14) | (26) 1 | (27) 231.892
Output number: 27, Rank-6: (1) 31 | (2) 27523 | (3)0.112633/100 | (4) 302, 302 | (5) 2929.17 | (6) 607.884 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 72.7778/100 | (15) 0 | (17) (302, 302) | (18) X | (19) (1799878, 51199) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 6168.73 | (25) (33.8703, 2-142) | (26) 1 | (27) 34.1142
Output number: 27, Rank-16: (1) 196 | (2) 38670 | (3)0.506853/100 | (4) 424, 424 | (5) 4084.67 | (6) 187.457 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 87.9012/100 | (15) 0 | (17) (424, 424) | (18) X | (19) (3385751, 71889) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 8485.66 | (25) (33.6143, 60-48) | (26) 1 | (27) 132.212
Output number: 27, Rank-0: (1) 87 | (2) 303 | (3)28.7129/100 | (4) 416, 416 | (5) 3778.29 | (6) 318.196 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 84.2798/100 | (15) 0 | (17) (416, 416) | (18) X | (19) (2859912, 70594) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 8424.21 | (25) (33.9433, 54-80) | (26) 1 | (27) 32.1359
Output number: 27, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 771, 771 | (5) 3743.16 | (6) 249.627 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 82.1399/100 | (15) 0 | (17) (771, 771) | (18) X | (19) (5323345, 130872) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 8290.01 | (25) (33.8609, 1-16) | (26) 1 | (27) 266.625
Output number: 27, Rank-7: (1) 142 | (2) 46639 | (3)0.304466/100 | (4) 874, 874 | (5) 2134.54 | (6) 694.816 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 58.2099/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (5398170, 148057) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 4878.97 | (25) (33.9393, 71-89) | (26) 1 | (27) 65.7629
Output number: 27, Rank-14: (1) 488 | (2) 47721 | (3)1.02261/100 | (4) 1240, 1240 | (5) 840.036 | (6) 950.087 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 36.8313/100 | (15) 0 | (17) (1240, 1240) | (18) X | (19) (6916780, 209648) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 3166.02 | (25) (34.1158, 63-55) | (26) 1 | (27) 65.1119
Output number: 27, Rank-10: (1) 7 | (2) 35296 | (3)0.0198323/100 | (4) 499, 499 | (5) 3260.24 | (6) 501.78 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 77.4074/100 | (15) 0 | (17) (499, 499) | (18) X | (19) (3094341, 84465) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 7262.99 | (25) (34.7316, 136-134) | (26) 1 | (27) 131.788
Output number: 27, Rank-13: (1) 114 | (2) 24525 | (3)0.464832/100 | (4) 855, 855 | (5) 3444.49 | (6) 346.886 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 78.0041/100 | (15) 0 | (17) (855, 855) | (18) X | (19) (5351152, 144593) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 8345.96 | (25) (34.3124, 140-129) | (26) 1 | (27) 66.0301
Output number: 27, Rank-20: (1) 32 | (2) 42893 | (3)0.0746042/100 | (4) 245, 245 | (5) 2505.79 | (6) 773.221 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860 | (14) 67.4691/100 | (15) 0 | (17) (245, 245) | (18) X | (19) (1409212, 41381) | (20) 1 | (21) 1 | (22) 0 | (23) 1 | (24) 5371.56 | (25) (34.0812, 10-5) | (26) 186 | (27) 31.8905
Output number: 27, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 614, 614 | (5) 4810.16 | (6) 16.6385 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860.01 | (14) 99.3004/100 | (15) 0 | (17) (614, 614) | (18) X | (19) (4087126, 104064) | (20) 1 | (21) 0 | (22) 0 | (23) 148 | (24) 10551.5 | (25) (34.9386, 83-71) | (26) 1 | (27) 3684.86
Output number: 27, Rank-9: (1) 77 | (2) 11812 | (3)0.651879/100 | (4) 228, 228 | (5) 3650.48 | (6) 378.494 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860.01 | (14) 82.8807/100 | (15) 0 | (17) (228, 228) | (18) X | (19) (1300641, 37989) | (20) 1 | (21) 1 | (22) 0 | (23) 10 | (24) 7919.84 | (25) (36.4864, 66-78) | (26) 1 | (27) 356.071
Output number: 27, Rank-1: (1) 433 | (2) 34771 | (3)1.24529/100 | (4) 1069, 1069 | (5) 3577.93 | (6) 250.072 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 4860.01 | (14) 78.7654/100 | (15) 0 | (17) (1069, 1069) | (18) X | (19) (6597604, 180860) | (20) 1 | (21) 1 | (22) 0 | (23) 13 | (24) 7623.87 | (25) (35.1134, 49-72) | (26) 1 | (27) 299.651
Output number: 28, Rank-20: (1) 32 | (2) 44647 | (3)0.0716733/100 | (4) 245, 245 | (5) 2594.73 | (6) 802.636 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 67.4008/100 | (15) 0 | (17) (245, 245) | (18) X | (19) (1449397, 40185) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5430.17 | (25) (33.5521, 8-0) | (26) 2297 | (27) -0.68046
Output number: 28, Rank-8: (1) 316 | (2) 1216 | (3)25.9868/100 | (4) 1009, 1009 | (5) 3933.75 | (6) 252.081 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 83.0357/100 | (15) 0 | (17) (1009, 1009) | (18) X | (19) (6581959, 165732) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 9054.56 | (25) (34.7707, 83-84) | (26) 1 | (27) 34.7729
Output number: 28, Rank-12: (1) 5 | (2) 49845 | (3)0.0100311/100 | (4) 755, 755 | (5) 197.401 | (6) 1513.6 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 33.9484/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (4813713, 123820) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 279.371 | (25) (0.61961, 135-97) | (26) 937358 | (27) -0.64283
Output number: 28, Rank-25: (1) 14 | (2) 41677 | (3)0.0335917/100 | (4) 206, 206 | (5) 2167.51 | (6) 965.446 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 62.1429/100 | (15) 0 | (17) (206, 206) | (18) X | (19) (1301415, 33784) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4296.37 | (25) (33.9359, 140-19) | (26) 26299 | (27) -0.73633
Output number: 28, Rank-15: (1) 85 | (2) 44947 | (3)0.189112/100 | (4) 204, 204 | (5) 3199.48 | (6) 573.169 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 74.8413/100 | (15) 0 | (17) (204, 204) | (18) X | (19) (1239038, 33461) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5909.31 | (25) (34.1811, 76-67) | (26) 3644 | (27) -0.3766
Output number: 28, Rank-26: (1) 27 | (2) 50140 | (3)0.0538492/100 | (4) 772, 772 | (5) 196.005 | (6) 1555.72 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 34.7421/100 | (15) 0 | (17) (772, 772) | (18) X | (19) (4845208, 126608) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 348.786 | (25) (33.1242, 81-47) | (26) 122273 | (27) -0.68568
Output number: 28, Rank-22: (1) 137 | (2) 45729 | (3)0.299591/100 | (4) 870, 870 | (5) 2150.82 | (6) 793.54 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 58.4127/100 | (15) 0 | (17) (870, 870) | (18) X | (19) (5518212, 142795) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3669.33 | (25) (33.8917, 81-73) | (26) 35509 | (27) -0.95632
Output number: 28, Rank-21: (1) 4 | (2) 50113 | (3)0.00798196/100 | (4) 737, 737 | (5) 188.563 | (6) 1522.38 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 33.9286/100 | (15) 0 | (17) (737, 737) | (18) X | (19) (4669159, 120868) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 273.608 | (25) (0.53709, 108-50) | (26) 149474 | (27) -0.40003
Output number: 28, Rank-4: (1) 208 | (2) 49716 | (3)0.418376/100 | (4) 942, 942 | (5) 731.167 | (6) 1296.44 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 40.2183/100 | (15) 0 | (17) (942, 942) | (18) X | (19) (5526790, 153483) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4120.94 | (25) (33.4135, 20-141) | (26) 8382 | (27) -0.23802
Output number: 28, Rank-27: (1) 257 | (2) 44281 | (3)0.580384/100 | (4) 972, 972 | (5) 2099.79 | (6) 733.153 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 56.1905/100 | (15) 0 | (17) (972, 972) | (18) X | (19) (6103176, 159406) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4738.43 | (25) (34.7947, 133-1) | (26) 46180 | (27) -0.34203
Output number: 28, Rank-11: (1) 166 | (2) 50015 | (3)0.3319/100 | (4) 900, 900 | (5) 233.908 | (6) 1352.16 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 31.4683/100 | (15) 0 | (17) (900, 900) | (18) X | (19) (5723197, 147598) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 398.416 | (25) (33.0797, 119-143) | (26) 19743 | (27) -0.26049
Output number: 28, Rank-18: (1) 279 | (2) 49732 | (3)0.561007/100 | (4) 1018, 1018 | (5) 728.922 | (6) 1144.05 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 37.1429/100 | (15) 0 | (17) (1018, 1018) | (18) X | (19) (6288497, 166952) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2387.98 | (25) (34.268, 21-3) | (26) 446 | (27) 0.04394
Output number: 28, Rank-3: (1) 100 | (2) 50073 | (3)0.199708/100 | (4) 833, 833 | (5) 215.878 | (6) 1424.84 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 32.5397/100 | (15) 0 | (17) (833, 833) | (18) X | (19) (5301784, 136668) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 309.275 | (25) (0.52215, 30-115) | (26) 9013 | (27) -1.37605
Output number: 28, Rank-17: (1) 311 | (2) 49772 | (3)0.624849/100 | (4) 1050, 1050 | (5) 640.284 | (6) 1226.12 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 37.0238/100 | (15) 0 | (17) (1050, 1050) | (18) X | (19) (6475772, 172200) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3235.97 | (25) (33.8024, 64-49) | (26) 14454 | (27) -0.36415
Output number: 28, Rank-5: (1) 279 | (2) 467 | (3)59.743/100 | (4) 882, 882 | (5) 3487.31 | (6) 380.822 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 76.746/100 | (15) 0 | (17) (882, 882) | (18) X | (19) (6282571, 145676) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6137.68 | (25) (38.0617, 5-120) | (26) 8965 | (27) -0.68879
Output number: 28, Rank-7: (1) 142 | (2) 48346 | (3)0.293716/100 | (4) 874, 874 | (5) 2226.46 | (6) 716.142 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 58.373/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (5541619, 143449) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 5733.25 | (25) (33.9402, 72-90) | (26) 1 | (27) 67.295
Output number: 28, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 771, 771 | (5) 3882.12 | (6) 259.83 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 82.1627/100 | (15) 0 | (17) (771, 771) | (18) X | (19) (5449798, 126453) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 8518.88 | (25) (34.1204, 11-9) | (26) 1 | (27) 265.406
Output number: 28, Rank-6: (1) 31 | (2) 27529 | (3)0.112609/100 | (4) 302, 302 | (5) 3030.51 | (6) 633.435 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 72.6786/100 | (15) 0 | (17) (302, 302) | (18) X | (19) (1849423, 49545) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 6164.06 | (25) (33.8708, 8-135) | (26) 1 | (27) 1.43635
Output number: 28, Rank-10: (1) 7 | (2) 36653 | (3)0.019098/100 | (4) 499, 499 | (5) 3381.08 | (6) 520.485 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 77.4008/100 | (15) 0 | (17) (499, 499) | (18) X | (19) (3176208, 81867) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 7386.09 | (25) (34.6368, 138-142) | (26) 1 | (27) 132.308
Output number: 28, Rank-9: (1) 80 | (2) 13183 | (3)0.606842/100 | (4) 231, 231 | (5) 3783.15 | (6) 392.477 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 82.8373/100 | (15) 0 | (17) (231, 231) | (18) X | (19) (1338338, 37697) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 8121.96 | (25) (36.4082, 76-89) | (26) 1 | (27) 249.108
Output number: 28, Rank-14: (1) 502 | (2) 49450 | (3)1.01517/100 | (4) 1254, 1254 | (5) 900.252 | (6) 976.697 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 37.2222/100 | (15) 0 | (17) (1254, 1254) | (18) X | (19) (7121821, 205041) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 3792.09 | (25) (33.9547, 65-53) | (26) 1 | (27) 99.6327
Output number: 28, Rank-13: (1) 114 | (2) 24571 | (3)0.463962/100 | (4) 855, 855 | (5) 3584.21 | (6) 356.934 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 78.1944/100 | (15) 0 | (17) (855, 855) | (18) X | (19) (5491399, 140247) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 8539.69 | (25) (33.9541, 142-128) | (26) 1 | (27) 164.761
Output number: 28, Rank-0: (1) 87 | (2) 303 | (3)28.7129/100 | (4) 414, 414 | (5) 3916.77 | (6) 330.92 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 84.2659/100 | (15) 0 | (17) (414, 414) | (18) X | (19) (2927855, 67943) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 8456.94 | (25) (33.7548, 53-84) | (26) 1 | (27) 31.5596
Output number: 28, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 1044, 1044 | (5) 2909.52 | (6) 520.936 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 68.0556/100 | (15) 0 | (17) (1044, 1044) | (18) X | (19) (6761758, 171214) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 7355.29 | (25) (37.1767, 129-17) | (26) 1 | (27) 230.193
Output number: 28, Rank-2: (1) 275 | (2) 49280 | (3)0.558036/100 | (4) 1002, 1002 | (5) 1348.12 | (6) 998.349 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 46.5476/100 | (15) 0 | (17) (1002, 1002) | (18) X | (19) (5988532, 164367) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4656.7 | (25) (34.9562, 56-79) | (26) 1 | (27) -0.71224
Output number: 28, Rank-1: (1) 435 | (2) 35101 | (3)1.23928/100 | (4) 1071, 1071 | (5) 3709.76 | (6) 260.964 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 78.7698/100 | (15) 0 | (17) (1071, 1071) | (18) X | (19) (6773212, 175608) | (20) 1 | (21) 0 | (22) 0 | (23) 15 | (24) 8181.08 | (25) (34.0699, 68-59) | (26) 1 | (27) 365.428
Output number: 28, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 614, 614 | (5) 4989.17 | (6) 16.9907 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040 | (14) 99.3254/100 | (15) 0 | (17) (614, 614) | (18) X | (19) (4187820, 100694) | (20) 1 | (21) 0 | (22) 0 | (23) 146 | (24) 11057.1 | (25) (34.9254, 89-58) | (26) 1 | (27) 3687.26
Output number: 28, Rank-16: (1) 196 | (2) 40266 | (3)0.486763/100 | (4) 410, 410 | (5) 4222.78 | (6) 199.455 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5040.01 | (14) 87.7381/100 | (15) 0 | (17) (410, 410) | (18) X | (19) (3453591, 67840) | (20) 1 | (21) 1 | (22) 0 | (23) 7 | (24) 8358.25 | (25) (34.5058, 76-63) | (26) 1 | (27) 132.102
Output number: 29, Rank-20: (1) 32 | (2) 46400 | (3)0.0689655/100 | (4) 245, 245 | (5) 2683.23 | (6) 832.239 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 67.3372/100 | (15) 0 | (17) (245, 245) | (18) X | (19) (1488805, 39408) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5501.53 | (25) (36.6632, 0-5) | (26) 180944 | (27) -0.68046
Output number: 29, Rank-13: (1) 114 | (2) 24637 | (3)0.462719/100 | (4) 854, 854 | (5) 3723.32 | (6) 367.203 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 78.3525/100 | (15) 0 | (17) (854, 854) | (18) X | (19) (5628869, 137470) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8641.13 | (25) (36.5655, 140-141) | (26) 834 | (27) -0.60661
