#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-32-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.44863 seconds
Distributing the actor graph took: 42.1073 seconds
Added actors in: 0.116455 seconds.
Initialized connections of actors in: 0.0522152 seconds.
Async Migration only
Output number: 1, Rank-9: (1) 23 | (2) 435 | (3)5.28736/100 | (4) 18, 18 | (5) 17.9686 | (6) 69.9332 | (7) 0.000371078 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (67384, 67384) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 136.298 | (25) (32.9184, 67-57)
Output number: 3, Rank-428: (1) 37 | (2) 440 | (3)8.40909/100 | (4) 25, 25 | (5) 46.8541 | (6) 208.804 | (7) 0.0003263 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 47.2222/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (44356, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 75.5271 | (25) (33.9905, 0-9)
Output number: 3, Rank-355: (1) 32 | (2) 507 | (3)6.31164/100 | (4) 14, 14 | (5) 26.7659 | (6) 217.112 | (7) 0.000311486 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (51392, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 102.55 | (25) (33.0468, 16-0)
Output number: 3, Rank-36: (1) 33 | (2) 5293 | (3)0.623465/100 | (4) 23, 23 | (5) 19.6983 | (6) 219.199 | (7) 0.000355554 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.0741/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (89562, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.196 | (25) (33.4512, 139-10)
Output number: 3, Rank-647: (1) 19 | (2) 5277 | (3)0.360053/100 | (4) 38, 38 | (5) 9.41869 | (6) 222.195 | (7) 0.000345659 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.7778/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (80633, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 115.41 | (25) (33.8982, 81-58)
Output number: 3, Rank-58: (1) 38 | (2) 457 | (3)8.3151/100 | (4) 22, 22 | (5) 51.7933 | (6) 201.708 | (7) 0.000373464 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.8519/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (30672, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.467 | (25) (33.2661, 138-7)
Output number: 3, Rank-577: (1) 58 | (2) 473 | (3)12.2622/100 | (4) 20, 20 | (5) 38.0803 | (6) 214.982 | (7) 0.000279139 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.8519/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (44275, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.94 | (25) (33.4048, 82-69)
Output number: 3, Rank-736: (1) 60 | (2) 5267 | (3)1.13917/100 | (4) 20, 20 | (5) 31.5907 | (6) 220.843 | (7) 0.000385814 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.6667/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (57059, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 108.1 | (25) (34.0273, 73-65)
Output number: 3, Rank-511: (1) 36 | (2) 5232 | (3)0.688073/100 | (4) 16, 16 | (5) 30.4164 | (6) 216.265 | (7) 0.000333642 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.5556/100 | (15) 0 | (17) (16, 16) | (18) X | (19) (69470, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 104.338 | (25) (33.3419, 5-140)
Output number: 3, Rank-240: (1) 45 | (2) 521 | (3)8.63724/100 | (4) 11, 11 | (5) 41.8214 | (6) 218.137 | (7) 0.000289662 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 47.963/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (34507, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 135.709 | (25) (33.7761, 66-67)
Output number: 3, Rank-406: (1) 39 | (2) 5262 | (3)0.741163/100 | (4) 9, 9 | (5) 27.8823 | (6) 227.37 | (7) 0.000299371 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 47.2222/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (61381, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 102.593 | (25) (33.567, 9-15)
Output number: 3, Rank-469: (1) 37 | (2) 5237 | (3)0.706511/100 | (4) 13, 13 | (5) 26.0851 | (6) 221.999 | (7) 0.000276387 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.9259/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (65743, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 102.339 | (25) (32.8515, 69-60)
Output number: 3, Rank-214: (1) 52 | (2) 477 | (3)10.9015/100 | (4) 13, 13 | (5) 40.8076 | (6) 214.946 | (7) 0.000333655 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 47.2222/100 | (15) 0 | (17) (13, 13) | (18) X | (19) (49089, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 103.604 | (25) (33.474, 81-61)
Output number: 3, Rank-765: (1) 53 | (2) 5262 | (3)1.00722/100 | (4) 17, 17 | (5) 36.1885 | (6) 215.783 | (7) 0.00031045 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.4815/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (52798, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.565 | (25) (33.5626, 140-130)
Output number: 3, Rank-194: (1) 57 | (2) 496 | (3)11.4919/100 | (4) 21, 21 | (5) 40.1254 | (6) 210.985 | (7) 0.000331273 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.4815/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (58070, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.885 | (25) (33.4564, 60-86)
Output number: 3, Rank-695: (1) 25 | (2) 475 | (3)5.26316/100 | (4) 22, 22 | (5) 18.804 | (6) 229.122 | (7) 0.000333878 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.7407/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (72755, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 108.045 | (25) (33.3158, 65-80)
Output number: 3, Rank-804: (1) 41 | (2) 5219 | (3)0.785591/100 | (4) 9, 9 | (5) 36.4242 | (6) 224.453 | (7) 0.000323909 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 48.1481/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (41039, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.929 | (25) (33.4682, 83-54)
Output number: 3, Rank-600: (1) 46 | (2) 424 | (3)10.8491/100 | (4) 10, 10 | (5) 46.5342 | (6) 216.839 | (7) 0.00038456 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 48.7037/100 | (15) 0 | (17) (10, 10) | (18) X | (19) (33371, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 102.107 | (25) (33.5217, 81-67)
Output number: 3, Rank-279: (1) 45 | (2) 5291 | (3)0.850501/100 | (4) 17, 17 | (5) 34.2592 | (6) 218.966 | (7) 0.000280552 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.8519/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (48764, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.546 | (25) (34.0005, 84-84)
Output number: 3, Rank-114: (1) 20 | (2) 5151 | (3)0.388274/100 | (4) 29, 29 | (5) 12.2191 | (6) 228.912 | (7) 0.000323716 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.6296/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (77092, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 110.878 | (25) (34.5234, 55-61)
Output number: 3, Rank-874: (1) 36 | (2) 5300 | (3)0.679245/100 | (4) 27, 27 | (5) 25.0373 | (6) 219.623 | (7) 0.000321181 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.1852/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (82720, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.329 | (25) (33.5121, 56-68)
Output number: 3, Rank-95: (1) 24 | (2) 367 | (3)6.53951/100 | (4) 24, 24 | (5) 18.1359 | (6) 220.557 | (7) 0.000290074 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.0741/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (84720, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 107.075 | (25) (33.0522, 141-17)
Output number: 3, Rank-317: (1) 11 | (2) 5256 | (3)0.209285/100 | (4) 33, 33 | (5) 5.2623 | (6) 226.369 | (7) 0.000361716 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.7778/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (73694, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 43.3092 | (25) (33.2717, 78-57)
Output number: 3, Rank-725: (1) 18 | (2) 5315 | (3)0.338664/100 | (4) 38, 38 | (5) 9.63315 | (6) 224.488 | (7) 0.000386444 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.3333/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (79004, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 111.091 | (25) (33.7172, 60-56)
Output number: 3, Rank-638: (1) 22 | (2) 5181 | (3)0.424628/100 | (4) 45, 45 | (5) 5.66841 | (6) 221.884 | (7) 0.000391488 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.037/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (87392, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 81.8018 | (25) (33.3684, 1-14)
Output number: 3, Rank-854: (1) 28 | (2) 560 | (3)5/100 | (4) 29, 29 | (5) 19.4022 | (6) 226.628 | (7) 0.000296178 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.5556/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (83731, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 110.633 | (25) (33.6217, 71-77)
Output number: 3, Rank-828: (1) 45 | (2) 5284 | (3)0.851628/100 | (4) 32, 32 | (5) 30.8313 | (6) 214.95 | (7) 0.000316371 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.3704/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (86832, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 111.984 | (25) (33.9537, 139-142)
Output number: 3, Rank-303: (1) 29 | (2) 403 | (3)7.19603/100 | (4) 32, 32 | (5) 19.8485 | (6) 217.486 | (7) 0.000273256 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.8889/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (94053, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 112.051 | (25) (33.5639, 0-13)
Output number: 3, Rank-365: (1) 41 | (2) 521 | (3)7.86948/100 | (4) 19, 19 | (5) 28.1342 | (6) 216.799 | (7) 0.00033741 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.1852/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (80407, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 104.718 | (25) (32.9587, 70-68)
Output number: 3, Rank-145: (1) 24 | (2) 5187 | (3)0.462695/100 | (4) 21, 21 | (5) 13.6744 | (6) 227.039 | (7) 0.000312162 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.4444/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (69187, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.128 | (25) (33.5776, 142-13)
Output number: 3, Rank-550: (1) 58 | (2) 5266 | (3)1.10141/100 | (4) 19, 19 | (5) 34.0656 | (6) 217.137 | (7) 0.000321625 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.4815/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (57327, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.65 | (25) (33.76, 8-135)
Output number: 3, Rank-483: (1) 28 | (2) 479 | (3)5.84551/100 | (4) 26, 26 | (5) 14.417 | (6) 223.537 | (7) 0.000289412 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.8889/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (69279, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 110.109 | (25) (34.4175, 2-136)
Output number: 3, Rank-429: (1) 32 | (2) 5256 | (3)0.608828/100 | (4) 10, 10 | (5) 44.0574 | (6) 219.308 | (7) 0.000334126 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 48.7037/100 | (15) 0 | (17) (10, 10) | (18) X | (19) (32556, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 100.315 | (25) (32.6936, 17-7)
Output number: 3, Rank-357: (1) 45 | (2) 5310 | (3)0.847458/100 | (4) 27, 27 | (5) 23.9269 | (6) 219.306 | (7) 0.000306159 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45/100 | (15) 0 | (17) (27, 27) | (18) X | (19) (91582, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 140.427 | (25) (32.9602, 7-8)
Output number: 3, Rank-38: (1) 26 | (2) 534 | (3)4.86891/100 | (4) 46, 46 | (5) 9.11141 | (6) 219.101 | (7) 0.000307959 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.2222/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (84190, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 116.004 | (25) (33.4871, 88-80)
Output number: 3, Rank-649: (1) 29 | (2) 5209 | (3)0.556729/100 | (4) 31, 31 | (5) 15.928 | (6) 220.176 | (7) 0.000286664 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.7037/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (82800, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.797 | (25) (33.4053, 10-132)
Output number: 3, Rank-60: (1) 40 | (2) 472 | (3)8.47458/100 | (4) 7, 7 | (5) 50.9749 | (6) 215.559 | (7) 0.000313013 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 49.2593/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (26351, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 100.918 | (25) (33.3181, 137-0)
Output number: 3, Rank-578: (1) 49 | (2) 507 | (3)9.66469/100 | (4) 17, 17 | (5) 31.3666 | (6) 215.804 | (7) 0.00033809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.7407/100 | (15) 0 | (17) (17, 17) | (18) X | (19) (58971, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 105.792 | (25) (33.4365, 63-90)
Output number: 3, Rank-738: (1) 50 | (2) 5224 | (3)0.957121/100 | (4) 11, 11 | (5) 41.5489 | (6) 218.791 | (7) 0.000331774 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 48.1481/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (41680, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 103.264 | (25) (34.2007, 135-134)
Output number: 3, Rank-512: (1) 45 | (2) 448 | (3)10.0446/100 | (4) 15, 15 | (5) 27.0018 | (6) 217.884 | (7) 0.00034366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.1852/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (87037, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 102.96 | (25) (33.2209, 3-129)
Output number: 3, Rank-241: (1) 56 | (2) 480 | (3)11.6667/100 | (4) 10, 10 | (5) 35.9741 | (6) 218.534 | (7) 0.000296063 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 47.037/100 | (15) 0 | (17) (10, 10) | (18) X | (19) (48659, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 103.745 | (25) (33.8625, 88-59)
Output number: 3, Rank-407: (1) 42 | (2) 5290 | (3)0.793951/100 | (4) 26, 26 | (5) 27.0234 | (6) 218.62 | (7) 0.000301232 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.3704/100 | (15) 0 | (17) (26, 26) | (18) X | (19) (76387, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 111.713 | (25) (34.7206, 11-4)
Output number: 3, Rank-470: (1) 36 | (2) 5299 | (3)0.679373/100 | (4) 24, 24 | (5) 22.9845 | (6) 219.092 | (7) 0.000300106 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.8148/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (93320, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.66 | (25) (34.1665, 57-88)
Output number: 3, Rank-215: (1) 46 | (2) 5251 | (3)0.876024/100 | (4) 21, 21 | (5) 34.637 | (6) 216.243 | (7) 0.000314613 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.2963/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (52772, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 107.221 | (25) (33.9469, 58-69)
Output number: 3, Rank-766: (1) 37 | (2) 5192 | (3)0.712635/100 | (4) 22, 22 | (5) 21.8339 | (6) 224.645 | (7) 0.00035229 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.5556/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (70669, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 106.504 | (25) (33.224, 127-140)
Output number: 3, Rank-195: (1) 54 | (2) 506 | (3)10.6719/100 | (4) 30, 30 | (5) 36.1526 | (6) 208.711 | (7) 0.000376686 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.1852/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (81506, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 112.988 | (25) (34.4686, 60-67)
Output number: 3, Rank-691: (1) 30 | (2) 5250 | (3)0.571429/100 | (4) 52, 52 | (5) 4.21665 | (6) 221.219 | (7) 0.000333949 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 41.6667/100 | (15) 0 | (17) (52, 52) | (18) X | (19) (94504, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 55.5604 | (25) (34.4569, 12-137)
Output number: 3, Rank-805: (1) 42 | (2) 431 | (3)9.74478/100 | (4) 18, 18 | (5) 26.176 | (6) 220.605 | (7) 0.000378424 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.5556/100 | (15) 0 | (17) (18, 18) | (18) X | (19) (59561, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 107.478 | (25) (34.3048, 84-66)
Output number: 3, Rank-601: (1) 56 | (2) 5206 | (3)1.07568/100 | (4) 9, 9 | (5) 41.9238 | (6) 216.354 | (7) 0.000312202 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 47.7778/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (35636, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.696 | (25) (33.5575, 58-78)
Output number: 3, Rank-278: (1) 46 | (2) 553 | (3)8.31826/100 | (4) 32, 32 | (5) 27.5475 | (6) 215.204 | (7) 0.000325616 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.8148/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (94803, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 111.551 | (25) (33.3412, 61-74)
Output number: 3, Rank-115: (1) 27 | (2) 5264 | (3)0.512918/100 | (4) 11, 11 | (5) 19.0654 | (6) 231.757 | (7) 0.000314119 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.2963/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (67713, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 102.805 | (25) (33.6428, 65-56)
Output number: 3, Rank-875: (1) 29 | (2) 514 | (3)5.64202/100 | (4) 15, 15 | (5) 16.3599 | (6) 220.559 | (7) 0.00029445 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.7037/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (77533, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.395 | (25) (33.9985, 66-62)
Output number: 3, Rank-96: (1) 31 | (2) 533 | (3)5.81614/100 | (4) 49, 49 | (5) 14.0108 | (6) 217.549 | (7) 0.000269325 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.7778/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (99927, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 117.086 | (25) (33.294, 143-1)
Output number: 3, Rank-318: (1) 29 | (2) 546 | (3)5.31136/100 | (4) 33, 33 | (5) 12.4829 | (6) 218.666 | (7) 0.000380762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.7778/100 | (15) 0 | (17) (33, 33) | (18) X | (19) (88301, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 141.891 | (25) (33.2653, 74-76)
Output number: 3, Rank-727: (1) 24 | (2) 5213 | (3)0.460387/100 | (4) 42, 42 | (5) 11.3168 | (6) 218.924 | (7) 0.00035602 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.5926/100 | (15) 0 | (17) (42, 42) | (18) X | (19) (83657, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 115.028 | (25) (33.9047, 129-143)
Output number: 3, Rank-639: (1) 30 | (2) 508 | (3)5.90551/100 | (4) 35, 35 | (5) 15.2113 | (6) 216.999 | (7) 0.000293135 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.963/100 | (15) 0 | (17) (35, 35) | (18) X | (19) (88595, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 113.406 | (25) (33.8819, 57-64)
Output number: 3, Rank-856: (1) 26 | (2) 522 | (3)4.98084/100 | (4) 41, 41 | (5) 15.3577 | (6) 219.543 | (7) 0.000306889 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 43.3333/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (88821, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 83.0677 | (25) (33.9728, 86-88)
Output number: 3, Rank-829: (1) 49 | (2) 490 | (3)10/100 | (4) 14, 14 | (5) 31.9183 | (6) 218.242 | (7) 0.00039015 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.2963/100 | (15) 0 | (17) (14, 14) | (18) X | (19) (80550, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 106.666 | (25) (34.303, 88-74)
Output number: 3, Rank-304: (1) 37 | (2) 542 | (3)6.82657/100 | (4) 29, 29 | (5) 17.7972 | (6) 225.566 | (7) 0.000322435 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (89274, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 111.516 | (25) (33.9169, 62-69)
Output number: 3, Rank-366: (1) 38 | (2) 5226 | (3)0.727134/100 | (4) 10, 10 | (5) 24.1793 | (6) 225.864 | (7) 0.000324772 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 46.2963/100 | (15) 0 | (17) (10, 10) | (18) X | (19) (54972, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 101.496 | (25) (33.5085, 68-86)
Output number: 3, Rank-146: (1) 20 | (2) 536 | (3)3.73134/100 | (4) 36, 36 | (5) 7.83467 | (6) 223.527 | (7) 0.000325405 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 42.7778/100 | (15) 0 | (17) (36, 36) | (18) X | (19) (81423, 0) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 81.3527 | (25) (34.5375, 77-81)
Output number: 3, Rank-551: (1) 45 | (2) 5260 | (3)0.855513/100 | (4) 23, 23 | (5) 31.5542 | (6) 216.537 | (7) 0.000321977 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 45.9259/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (78969, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.411 | (25) (34.2412, 5-136)
Output number: 3, Rank-484: (1) 24 | (2) 5221 | (3)0.459682/100 | (4) 19, 19 | (5) 9.95402 | (6) 229.805 | (7) 0.000312047 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 540 | (14) 44.2593/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (83439, 0) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 105.393 | (25) (33.3308, 16-134)
